1,2013-03-22 22:48:53,2013-01-01,06:25:00,06:45:00,08:06:00,12:09:00,01:00:00,01:46:00,02:16:00,02:45:00,04:05:00,04:10:00,05:42:00,08:00:00
2,2013-03-22 22:48:53,2013-01-02,06:25:00,06:45:00,08:06:00,12:10:00,01:00:00,01:47:00,02:17:00,02:45:00,04:06:00,04:11:00,05:43:00,08:00:00
3,2013-03-22 22:48:53,2013-01-03,06:25:00,06:45:00,08:06:00,12:10:00,01:00:00,01:48:00,02:18:00,02:45:00,04:08:00,04:13:00,05:44:00,08:00:00
4,2013-03-22 22:48:53,2013-01-04,06:25:00,06:45:00,08:06:00,12:11:00,01:00:00,01:49:00,02:19:00,02:45:00,04:09:00,04:14:00,05:45:00,08:00:00
5,2013-03-22 22:48:53,2013-01-05,06:25:00,06:45:00,08:05:00,12:11:00,01:00:00,01:50:00,02:20:00,02:45:00,04:10:00,04:15:00,05:46:00,08:00:00
6,2013-03-22 22:48:53,2013-01-06,06:25:00,06:45:00,08:05:00,12:12:00,01:00:00,01:51:00,02:22:00,02:45:00,04:11:00,04:16:00,05:47:00,08:00:00
7,2013-03-22 22:48:53,2013-01-07,06:24:00,06:45:00,08:05:00,12:12:00,01:00:00,01:52:00,02:23:00,02:45:00,04:12:00,04:17:00,05:48:00,08:00:00
8,2013-03-22 22:48:53,2013-01-08,06:24:00,06:45:00,08:04:00,12:12:00,01:00:00,01:53:00,02:24:00,02:45:00,04:14:00,04:19:00,05:49:00,08:00:00
9,2013-03-22 22:48:53,2013-01-09,06:24:00,06:45:00,08:04:00,12:13:00,01:00:00,01:54:00,02:25:00,02:45:00,04:15:00,04:20:00,05:50:00,08:00:00
10,2013-03-22 22:48:53,2013-01-10,06:23:00,06:45:00,08:03:00,12:13:00,01:00:00,01:55:00,02:27:00,02:45:00,04:17:00,04:22:00,05:52:00,08:00:00
11,2013-03-22 22:48:53,2013-01-11,06:23:00,06:45:00,08:03:00,12:14:00,01:00:00,01:57:00,02:28:00,03:00:00,04:18:00,04:23:00,05:53:00,08:00:00
12,2013-03-22 22:48:53,2013-01-12,06:22:00,06:45:00,08:02:00,12:14:00,01:00:00,01:58:00,02:30:00,03:00:00,04:19:00,04:24:00,05:54:00,08:00:00
